feature,importance,fold
APR_AMT_CREDIT_MAX,7,6
LIVINGAREA_AVG,7,6
BURO_AMT_CREDIT_SUM_MEAN,7,6
PREV_NAME_YIELD_GROUP_high_MEAN,7,6
REF_AMT_ANNUITY_MIN,7,6
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,7,6
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,7,6
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,7,6
POS_SK_DPD_DEF_MAX,7,6
CLS_DAYS_CREDIT_ENDDATE_MAX,7,6
REF_AMT_CREDIT_MIN,6,6
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,6,6
CC_CNT_DRAWINGS_CURRENT_MAX,6,6
CC_CNT_DRAWINGS_CURRENT_SUM,6,6
PREV_NAME_YIELD_GROUP_low_normal_MEAN,6,6
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,6,6
APR_APP_CREDIT_PERC_MEAN,6,6
LIVINGAREA_MEDI,6,6
REF_CNT_PAYMENT_SUM,6,6
TOTALAREA_MODE,6,6
APR_AMT_ANNUITY_MIN,6,6
CLS_MONTHS_BALANCE_MAX_MAX,5,6
DAYS_REGISTRATION,5,6
FLOORSMAX_AVG,5,6
CLS_AMT_CREDIT_MAX_OVERDUE_MEAN,5,6
PREV_AMT_ANNUITY_MIN,5,6
INS_AMT_INSTALMENT_MEAN,5,6
POS_SK_DPD_MEAN,5,6
CLS_DAYS_CREDIT_MEAN,5,6
ACT_AMT_CREDIT_SUM_MEAN,5,6
YEARS_BEGINEXPLUATATION_MEDI,5,6
PREV_APP_CREDIT_PERC_VAR,5,6
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,5,6
POS_MONTHS_BALANCE_MAX,5,6
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,5,6
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,5,6
ACT_AMT_CREDIT_SUM_LIMIT_MEAN,5,6
BURO_STATUS_X_MEAN_MEAN,5,6
ACT_DAYS_CREDIT_ENDDATE_MAX,5,6
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,5,6
REGION_RATING_CLIENT_W_CITY,5,6
REG_CITY_NOT_LIVE_CITY,5,6
LIVINGAREA_MODE,5,6
REF_APP_CREDIT_PERC_VAR,5,6
APR_AMT_DOWN_PAYMENT_MEAN,5,6
INS_COUNT,4,6
ACT_AMT_CREDIT_SUM_SUM,4,6
BASEMENTAREA_MEDI,4,6
CLS_MONTHS_BALANCE_SIZE_SUM,4,6
ACT_AMT_CREDIT_SUM_DEBT_MAX,4,6
APR_RATE_DOWN_PAYMENT_MAX,4,6
COMMONAREA_MEDI,4,6
APR_APP_CREDIT_PERC_VAR,4,6
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,4,6
CC_AMT_DRAWINGS_CURRENT_MEAN,4,6
REF_AMT_ANNUITY_MAX,4,6
APARTMENTS_AVG,4,6
PREV_NAME_CLIENT_TYPE_New_MEAN,4,6
BURO_AMT_CREDIT_SUM_DEBT_SUM,4,6
PREV_CODE_REJECT_REASON_HC_MEAN,3,6
ACT_MONTHS_BALANCE_MIN_MIN,3,6
CLS_DAYS_CREDIT_UPDATE_MIN,3,6
CC_AMT_DRAWINGS_CURRENT_VAR,3,6
REF_AMT_ANNUITY_MEAN,3,6
CC_AMT_PAYMENT_CURRENT_SUM,3,6
APR_HOUR_APPR_PROCESS_START_MEAN,3,6
APR_AMT_APPLICATION_MEAN,3,6
ACT_DAYS_CREDIT_VAR,3,6
BURO_DAYS_CREDIT_ENDDATE_MAX,3,6
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,3,6
NAME_CONTRACT_TYPE_Cash loans,3,6
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,3,6
INS_DBD_MEAN,3,6
REGION_POPULATION_RELATIVE,3,6
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,3,6
ORGANIZATION_TYPE_Self-employed,3,6
REF_AMT_GOODS_PRICE_MEAN,3,6
BURO_STATUS_1_MEAN_MEAN,3,6
PREV_CHANNEL_TYPE_Country-wide_MEAN,3,6
APR_CNT_PAYMENT_SUM,3,6
BURO_MONTHS_BALANCE_MIN_MIN,3,6
YEARS_BEGINEXPLUATATION_MODE,3,6
REF_AMT_CREDIT_MEAN,3,6
PREV_AMT_APPLICATION_MAX,3,6
BASEMENTAREA_MODE,3,6
APR_DAYS_DECISION_MEAN,3,6
BURO_AMT_CREDIT_SUM_LIMIT_SUM,2,6
ACT_AMT_CREDIT_SUM_OVERDUE_MEAN,2,6
YEARS_BUILD_AVG,2,6
APR_AMT_CREDIT_MEAN,2,6
CC_AMT_PAYMENT_CURRENT_MEAN,2,6
INS_PAYMENT_DIFF_MAX,2,6
DAYS_ID_PUBLISH,2,6
APR_AMT_CREDIT_MIN,2,6
APR_AMT_GOODS_PRICE_MEAN,2,6
BURO_STATUS_0_MEAN_MEAN,2,6
INS_PAYMENT_PERC_VAR,2,6
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,2,6
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,2,6
PREV_CODE_REJECT_REASON_LIMIT_MEAN,2,6
CLS_AMT_CREDIT_SUM_DEBT_MEAN,2,6
CLS_AMT_CREDIT_SUM_DEBT_MAX,2,6
PREV_AMT_GOODS_PRICE_MAX,2,6
CLS_DAYS_CREDIT_ENDDATE_MIN,2,6
CC_AMT_DRAWINGS_POS_CURRENT_SUM,2,6
POS_COUNT,2,6
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,2,6
BURO_DAYS_CREDIT_UPDATE_MAX,2,6
PREV_PRODUCT_COMBINATION_Card Street_MEAN,2,6
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,2,6
BURO_AMT_CREDIT_SUM_DEBT_MAX,2,6
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,2,6
NONLIVINGAREA_MODE,2,6
PREV_PRODUCT_COMBINATION_Cash_MEAN,1,6
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,1,6
PREV_NAME_PORTFOLIO_XNA_MEAN,1,6
FLAG_OWN_CAR,1,6
ENTRANCES_MEDI,1,6
DAYS_LAST_PHONE_CHANGE,1,6
ENTRANCES_AVG,1,6
ELEVATORS_MODE,1,6
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,1,6
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,1,6
COMMONAREA_AVG,1,6
REF_AMT_APPLICATION_MEAN,1,6
CLS_DAYS_CREDIT_UPDATE_MEAN,1,6
ELEVATORS_AVG,1,6
REF_AMT_DOWN_PAYMENT_MEAN,1,6
FLOORSMAX_MEDI,1,6
REF_RATE_DOWN_PAYMENT_MAX,1,6
NONLIVINGAREA_MEDI,1,6
PREV_CODE_REJECT_REASON_SCO_MEAN,1,6
OCCUPATION_TYPE_nan,1,6
PREV_CNT_PAYMENT_SUM,1,6
ORGANIZATION_TYPE_Business Entity Type 3,1,6
REF_AMT_DOWN_PAYMENT_MAX,1,6
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1,6
FLOORSMAX_MODE,1,6
PREV_RATE_DOWN_PAYMENT_MEAN,1,6
REF_HOUR_APPR_PROCESS_START_MAX,1,6
PREV_AMT_DOWN_PAYMENT_MIN,1,6
PREV_AMT_ANNUITY_MAX,1,6
PREV_AMT_APPLICATION_MEAN,1,6
PREV_AMT_CREDIT_MEAN,1,6
NONLIVINGAPARTMENTS_AVG,1,6
NAME_FAMILY_STATUS_Married,1,6
PREV_HOUR_APPR_PROCESS_START_MAX,1,6
PREV_HOUR_APPR_PROCESS_START_MIN,1,6
LANDAREA_AVG,1,6
INS_PAYMENT_DIFF_VAR,1,6
INS_PAYMENT_DIFF_SUM,1,6
REG_CITY_NOT_WORK_CITY,1,6
INS_NUM_INSTALMENT_VERSION_NUNIQUE,1,6
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,1,6
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,1,6
REF_AMT_GOODS_PRICE_MAX,1,6
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,1,6
WALLSMATERIAL_MODE_Panel,1,6
PREV_NAME_PORTFOLIO_Cards_MEAN,1,6
PREV_NAME_PORTFOLIO_Cash_MEAN,1,6
INCOME_PER_PERSON,1,6
PREV_RATE_DOWN_PAYMENT_MIN,1,6
YEARS_BUILD_MODE,1,6
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,1,6
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,1,6
CC_AMT_PAYMENT_CURRENT_MIN,1,6
APR_DAYS_DECISION_MAX,1,6
ACT_DAYS_CREDIT_MIN,1,6
CC_AMT_TOTAL_RECEIVABLE_VAR,1,6
CC_AMT_INST_MIN_REGULARITY_MEAN,1,6
BURO_CREDIT_ACTIVE_Sold_MEAN,1,6
CC_AMT_DRAWINGS_POS_CURRENT_MAX,1,6
BURO_CREDIT_TYPE_Consumer credit_MEAN,1,6
CC_MONTHS_BALANCE_SUM,1,6
BURO_AMT_ANNUITY_MAX,1,6
APARTMENTS_MEDI,1,6
APR_RATE_DOWN_PAYMENT_MIN,1,6
APR_RATE_DOWN_PAYMENT_MEAN,1,6
APR_AMT_GOODS_PRICE_MIN,1,6
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,1,6
BURO_CREDIT_TYPE_Credit card_MEAN,1,6
CC_AMT_RECIVABLE_VAR,1,6
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,1,6
CLS_AMT_ANNUITY_MAX,1,6
CC_CNT_DRAWINGS_POS_CURRENT_MAX,1,6
BURO_MONTHS_BALANCE_SIZE_SUM,1,6
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,1,6
CC_CNT_DRAWINGS_POS_CURRENT_SUM,1,6
PREV_NAME_CASH_LOAN_PURPOSE_Money for a third person_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_MEAN,0,6
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,6
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,6
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_MEAN,0,6
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,6
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0,6
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_MEAN,0,6
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0,6
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0,6
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,6
CC_AMT_BALANCE_VAR,0,6
PREV_NAME_GOODS_CATEGORY_Direct Sales_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Office Appliances_MEAN,0,6
BURO_STATUS_5_MEAN_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_House Construction_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,0,6
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,0,6
BURO_STATUS_nan_MEAN_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Auto Accessories_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Additional Service_MEAN,0,6
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN,0,6
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0,6
CC_AMT_BALANCE_MAX,0,6
CC_AMT_BALANCE_SUM,0,6
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,6
CLS_AMT_CREDIT_SUM_LIMIT_SUM,0,6
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,6
PREV_AMT_CREDIT_MIN,0,6
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,0,6
PREV_CHANNEL_TYPE_Contact center_MEAN,0,6
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,0,6
PREV_CHANNEL_TYPE_Car dealer_MEAN,0,6
CC_AMT_DRAWINGS_POS_CURRENT_MIN,0,6
